veiculo,pais,url,tipo,prioridade,status_feed,url_feed,itens_no_feed,data_item_mais_antigo,backfill_wpjson,data_descoberta,detalhe_feed,foco_genero
Vogue Brasil,BR,https://vogue.globo.com,editorial,alta,link-alternate,https://vogue.globo.com/rss/vogue,100,2026-07-20,nao,2026-07-24,100/100 itens com titulo+link+data,feminino
Elle Brasil,BR,https://elle.com.br,editorial,alta,/feed,https://elle.com.br/feed,10,2026-07-23,nao,2026-07-24,10/10 itens com titulo+link+data,feminino
Harpers Bazaar Brasil,BR,https://harpersbazaar.uol.com.br,editorial,alta,/feed,https://harpersbazaar.uol.com.br/feed,10,2026-07-22,nao,2026-07-24,10/10 itens com titulo+link+data,feminino
Glamour Brasil,BR,https://glamour.globo.com,editorial,media,link-alternate,https://glamour.globo.com/rss/glamour,100,2026-07-20,nao,2026-07-24,100/100 itens com titulo+link+data,feminino
Marie Claire Brasil,BR,https://revistamarieclaire.globo.com,editorial,media,link-alternate,https://revistamarieclaire.globo.com/rss/marieclaire,100,2026-07-21,nao,2026-07-24,100/100 itens com titulo+link+data,feminino
FFW,BR,https://ffw.com.br,editorial,alta,wp-json,https://ffw.com.br/wp-json/wp/v2/posts?per_page=10,3,2025-05-22,sim,2026-08-05,"3/3 itens com titulo+link+data; saiu do dominio da UOL (ffw.uol.com.br redireciona); 403 do datacenter do GitHub e 200 de IP residencial, medido 05/08 com o CanarioBot; reconfirmado 13/08: HTTP 200, 64076 bytes, robots.txt permite. O 403 diario vem de o job editorial rodar em ubuntu-latest, nao de bloqueio do veiculo",misto
Steal the Look,BR,https://stealthelook.com.br,editorial,media,wp-json,https://stealthelook.com.br/wp-json/wp/v2/posts?per_page=10,10,2026-07-23,sim,2026-07-24,10/10 itens com titulo+link+data,feminino
Fashion Bubbles,BR,https://www.fashionbubbles.com,editorial,media,/feed,https://www.fashionbubbles.com/feed,24,2026-07-10,nao,2026-07-24,24/24 itens com titulo+link+data,feminino
Vogue,US,https://www.vogue.com,editorial,alta,link-alternate,https://www.vogue.com/feed/rss,29,2026-07-23,nao,2026-07-24,29/29 itens com titulo+link+data,feminino
Vogue Business,UK,https://www.voguebusiness.com,editorial,alta,falhou,,,,nao,2026-08-05,"a descoberta pegou o link-alternate do site e caiu em vogue.com/feed/rss -- o feed da VOGUE, nao do Vogue Business. Nunca trouxe artigo nenhum: o on_conflict por url deu tudo para a Vogue, e este ficou como fonte fantasma no painel. voguebusiness.com/feed/rss da 404, medido 05/08. Sem feed proprio, fica de fora ate haver um"
Business of Fashion,UK,https://www.businessoffashion.com,editorial,alta,/feed,https://www.businessoffashion.com/arc/outboundfeeds/rss/?outputType=xml,100,2025-11-14,nao,2026-08-05,"100/100 itens com titulo+link+data; /feed redireciona para /arc/outboundfeeds/rss/; 403 do datacenter do GitHub e 200 de IP residencial, medido 05/08 com o CanarioBot; reconfirmado 13/08: HTTP 200, 115367 bytes, robots.txt permite. O 403 diario vem de o job editorial rodar em ubuntu-latest, nao de bloqueio do veiculo"
WWD,US,https://wwd.com,editorial,alta,/feed,https://wwd.com/feed,10,2026-07-24,nao,2026-07-24,10/10 itens com titulo+link+data
Who What Wear,US,https://www.whowhatwear.com,editorial,media,/rss,https://www.whowhatwear.com/rss,50,2026-07-22,nao,2026-07-24,50/50 itens com titulo+link+data,feminino
Refinery29,US,https://www.refinery29.com,editorial,media,/feed.xml,https://www.refinery29.com/feed.xml,10,2026-07-23,nao,2026-07-24,10/10 itens com titulo+link+data,feminino
Hypebeast,HK,https://hypebeast.com,editorial,media,/feed,https://hypebeast.com/feed,20,2026-07-24,nao,2026-07-24,20/20 itens com titulo+link+data,masculino
Highsnobiety,DE,https://www.highsnobiety.com,editorial,media,/feed,https://www.highsnobiety.com/feed,17,2026-07-23,nao,2026-07-24,17/17 itens com titulo+link+data,masculino
Dazed,UK,https://www.dazeddigital.com,editorial,baixa,/rss,https://www.dazeddigital.com/rss,15,2026-07-23,nao,2026-07-24,15/15 itens com titulo+link+data
Claudia,BR,https://claudia.abril.com.br,editorial,media,wp-json,https://claudia.abril.com.br/wp-json/wp/v2/posts?per_page=10,10,2026-08-23,sim,2026-08-24,10/10 itens validos; WP JSON e robots permitem backfill,feminino
Marie Claire US,US,https://www.marieclaire.com,editorial,alta,/rss,https://www.marieclaire.com/rss,50,2026-08-20,nao,2026-08-24,50/50 itens com titulo+link+data,feminino
The Zoe Report,US,https://www.thezoereport.com,editorial,alta,/rss,https://www.thezoereport.com/rss,50,2026-08-13,nao,2026-08-24,50/50 itens com titulo+link+data,feminino
W Magazine,US,https://www.wmagazine.com,editorial,alta,/rss,https://www.wmagazine.com/rss,50,2026-08-11,nao,2026-08-24,50/50 itens com titulo+link+data,feminino
Glamour US,US,https://www.glamour.com,editorial,alta,link-alternate,https://www.glamour.com/feed/rss,30,2026-08-15,nao,2026-08-24,30/30 itens com titulo+link+data,feminino
Fashion Gone Rogue,US,https://www.fashiongonerogue.com,editorial,media,wp-json,https://www.fashiongonerogue.com/wp-json/wp/v2/posts?per_page=10,10,2025-08-12,sim,2026-08-24,10/10 itens validos; WP JSON e robots permitem backfill,feminino
Fashion Bomb Daily,US,https://fashionbombdaily.com,editorial,media,wp-json,https://fashionbombdaily.com/wp-json/wp/v2/posts?per_page=10,10,2026-08-15,sim,2026-08-24,10/10 itens validos; WP JSON e robots permitem backfill,feminino
Tom and Lorenzo,US,https://tomandlorenzo.com,editorial,media,wp-json,https://tomandlorenzo.com/wp-json/wp/v2/posts?per_page=10,10,2026-08-21,sim,2026-08-24,10/10 itens validos; WP JSON e robots permitem backfill,misto
Fashion Week Daily,US,https://fashionweekdaily.com,editorial,media,wp-json,https://fashionweekdaily.com/wp-json/wp/v2/posts?per_page=10,10,2026-08-20,sim,2026-08-24,10/10 itens validos; WP JSON e robots permitem backfill,feminino
Red Carpet Fashion Awards,UK,https://www.redcarpet-fashionawards.com,editorial,media,/feed,https://www.redcarpet-fashionawards.com/feed,30,2026-08-10,nao,2026-08-24,30/30 itens com titulo+link+data; WP JSON recusado por robots,feminino
Lyst,UK,https://www.lyst.com,dado_agregado,alta,falhou,,,,nao,2026-07-24,"dado_agregado, nao editorial: sem RSS; entra por outra via (secao 12), nao pela descoberta de feed"
